Index,Start_Time,End_Time,Length,MOSI,MISO,Frequency,Error
1020,20.684856s,20.684877s,5,80 D4 00 18 00,00 00 00 01 94,1.5504 MHz,-
1021,20.684883s,20.684918s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5826 MHz,-
1022,20.684923s,20.684989s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5687 MHz,-
1023,20.689995s,20.690015s,5,80 D4 00 18 00,00 00 00 01 94,1.5580 MHz,-
1024,20.690021s,20.690057s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5550 MHz,-
1025,20.690062s,20.690183s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5733 MHz,-
1026,20.690189s,20.690209s,5,00 D4 00 18 40,00 00 00 01 00,1.5937 MHz,-
1027,20.690215s,20.690235s,5,00 D4 00 00 20,00 00 00 01 00,1.6049 MHz,-
1028,20.690241s,20.690261s,5,80 D4 00 00 00,00 00 00 01 81,1.5969 MHz,-
1029,20.690267s,20.690287s,5,00 D4 00 00 02,00 00 00 01 00,1.6033 MHz,-
1030,20.690293s,20.690313s,5,80 D4 00 00 00,00 00 00 01 A1,1.6228 MHz,-
1031,20.690319s,20.690339s,5,80 D4 00 18 00,00 00 00 01 04,1.6146 MHz,-
1032,20.690345s,20.690365s,5,00 D4 00 18 40,00 00 00 01 00,1.5826 MHz,-
1033,20.695371s,20.695391s,5,C0 D4 00 18 00,00 00 00 01 44,1.5702 MHz,-
1034,20.695397s,20.695432s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5905 MHz,-
1035,20.695438s,20.695565s,26,1D D4 00 24 80 01 00 00 00 16 00 00 01 FA 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5937 MHz,-
1036,20.700570s,20.700591s,5,80 D4 00 18 00,00 00 00 01 84,1.5969 MHz,-
1037,20.705597s,20.705617s,5,80 F4 00 18 00,00 00 00 01 84,1.6162 MHz,-
1038,20.705623s,20.705643s,5,00 D4 00 18 20,00 00 00 01 00,1.5826 MHz,-
1039,20.710649s,20.710669s,5,80 F4 00 18 00,00 00 00 01 94,1.5905 MHz,-
1040,20.710675s,20.710710s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.6017 MHz,-
1041,20.710716s,20.710781s,14,C9 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5921 MHz,-
1042,20.715787s,20.715808s,5,80 D4 00 18 00,00 00 00 01 94,1.5985 MHz,-
1043,20.715813s,20.715849s,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5985 MHz,-
1044,20.715854s,20.715955s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5550 MHz,-
1045,20.715961s,20.715981s,5,00 D4 00 18 40,00 00 00 01 00,1.5905 MHz,-
1046,20.715987s,20.716007s,5,00 D4 00 00 20,00 00 00 01 00,1.5858 MHz,-
1047,20.716013s,20.716034s,5,80 D4 00 00 00,00 00 00 01 81,1.5937 MHz,-
1048,20.716039s,20.716060s,5,00 D4 00 00 02,00 00 00 01 00,1.5718 MHz,-
1049,20.716065s,20.716085s,5,80 D4 00 00 00,00 00 00 01 A1,1.6000 MHz,-
1050,20.716091s,20.716111s,5,80 D4 00 18 00,00 00 00 01 04,1.5780 MHz,-
1051,20.716116s,20.716137s,5,00 D4 00 18 40,00 00 00 01 00,1.5874 MHz,-
1052,20.721142s,20.721162s,5,80 F4 00 18 00,00 00 00 01 44,1.5687 MHz,-
1053,20.721168s,20.721203s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5953 MHz,-
1054,20.721209s,20.721547s,68,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B 8F 63 1C 25 4F 37 7B 06 1E 58 BA D2 FE 9B 28 E0 5D B9 42 F5 9D 53 E3 F0 5D A8 80 21 61 83 45,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5905 MHz,-
1055,20.721552s,20.721572s,5,00 D4 00 24 E8,00 00 00 01 00,1.5842 MHz,-
1056,20.726578s,20.726598s,5,80 D4 00 18 00,00 00 00 01 84,1.6017 MHz,-
1057,20.731604s,20.731624s,5,80 D4 00 18 00,00 00 00 01 84,1.5671 MHz,-
1058,20.731629s,20.731650s,5,00 D4 00 18 20,00 00 00 01 00,1.6000 MHz,-
1059,20.736655s,20.736675s,5,80 D4 00 18 00,00 00 00 01 94,1.5702 MHz,-
1060,20.736681s,20.736716s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.6081 MHz,-
1061,20.736722s,20.736787s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.6081 MHz,-
1062,20.741793s,20.741813s,5,80 D4 00 1C 00,00 00 00 01 94,1.5937 MHz,-
1063,20.741819s,20.741854s,8,83 D4 00 1C 00 00 00 00,00 00 00 01 94 09 00 04,1.5969 MHz,-
1064,20.741860s,20.741920s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5641 MHz,-
1065,20.741926s,20.741946s,5,00 F4 00 18 40,00 00 00 01 00,1.5550 MHz,-
1066,20.741952s,20.741972s,5,00 D4 00 00 20,00 00 00 01 00,1.6081 MHz,-
1067,20.741982s,20.742002s,5,80 D4 00 00 00,00 00 00 01 81,1.6081 MHz,-
1068,20.742008s,20.742028s,5,00 D4 00 00 02,00 00 00 01 00,1.5580 MHz,-
1069,20.742034s,20.742054s,5,80 D4 00 00 00,00 00 00 01 A1,1.5641 MHz,-
1070,20.742060s,20.742080s,5,80 D4 00 18 00,00 00 00 01 44,1.6178 MHz,-
1071,20.742086s,20.742121s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5580 MHz,-
1072,20.742127s,20.742253s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5641 MHz,-
1073,20.747259s,20.747279s,5,80 D4 00 18 00,00 00 00 01 84,1.5489 MHz,-
1074,20.752285s,20.752306s,5,80 D4 00 18 00,00 00 00 01 84,1.5385 MHz,-
1075,20.752311s,20.752332s,5,00 D4 00 18 20,00 00 00 01 00,1.5937 MHz,-
1076,20.757337s,20.757358s,5,80 D4 00 18 00,00 00 00 01 94,1.5953 MHz,-
1077,20.757363s,20.757399s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.6081 MHz,-
1078,20.757404s,20.757470s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5702 MHz,-
1079,20.762476s,20.762496s,5,80 DC 00 18 00,00 00 00 01 94,1.6146 MHz,-
1080,20.762502s,20.762538s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5811 MHz,-
1081,20.762543s,20.762665s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5702 MHz,-
1082,20.762670s,20.762691s,5,00 D4 00 1C 40,00 00 00 01 00,1.5874 MHz,-
1083,20.762696s,20.762716s,5,00 D4 00 00 20,00 00 00 01 00,1.5874 MHz,-
1084,20.762723s,20.762743s,5,80 D4 00 00 00,00 00 00 01 81,1.5937 MHz,-
1085,20.762749s,20.762769s,5,00 D4 00 00 02,00 00 00 01 00,1.5969 MHz,-
1086,20.762775s,20.762795s,5,80 D4 00 00 00,00 00 00 01 A1,1.5858 MHz,-
1087,20.762801s,20.762821s,5,80 D4 00 18 00,00 00 00 01 44,1.6228 MHz,-
1088,20.762827s,20.762862s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5953 MHz,-
1089,20.762868s,20.762994s,26,15 D4 00 24 C0 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6081 MHz,-
1090,20.768000s,20.768020s,5,80 D4 00 18 00,00 00 00 01 84,1.6049 MHz,-
1091,20.773026s,20.773046s,5,80 D4 00 18 00,00 00 00 01 84,1.5459 MHz,-
1092,20.773052s,20.773072s,5,00 D4 00 18 20,00 00 00 01 00,1.5953 MHz,-
1093,20.778078s,20.778099s,5,80 D4 00 18 00,00 00 00 01 94,1.5718 MHz,-
1094,20.778104s,20.778140s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5780 MHz,-
1095,20.778145s,20.778211s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.6033 MHz,-
1096,20.783217s,20.783237s,5,80 D4 00 18 00,00 00 00 01 94,1.5937 MHz,-
1097,20.783243s,20.783279s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5969 MHz,-
1098,20.783284s,20.783385s,21,D0 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5687 MHz,-
1099,20.783391s,20.783411s,5,00 D4 00 18 40,00 00 00 01 00,1.5687 MHz,-
1100,20.783417s,20.783437s,5,00 D4 00 00 20,00 00 00 01 00,1.6000 MHz,-
1101,20.783443s,20.783463s,5,80 D4 00 00 00,00 00 00 01 81,1.5749 MHz,-
1102,20.783469s,20.783489s,5,00 D4 00 00 02,00 00 00 01 00,1.5969 MHz,-
1103,20.783495s,20.783515s,5,80 D4 00 00 00,00 00 00 01 A1,1.5858 MHz,-
1104,20.783521s,20.783541s,5,80 D4 00 18 00,00 00 00 01 04,1.5811 MHz,-
1105,20.783546s,20.783567s,5,00 D4 00 18 40,00 00 00 01 00,1.5889 MHz,-
1106,20.788572s,20.788593s,5,80 D4 00 18 00,00 00 00 01 44,1.5842 MHz,-
1107,20.788598s,20.788634s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5985 MHz,-
1108,20.788639s,20.788921s,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 85 D6 4B 3C 1D 4E B4 9F 59 11 58 58 93 11 F4 26 AB 18 6E 83,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6033 MHz,-
1109,20.793927s,20.793947s,5,80 D4 00 18 00,00 00 00 01 84,1.6294 MHz,-
1110,20.798953s,20.798973s,5,80 D4 00 18 00,00 00 00 01 84,1.5702 MHz,-
1111,20.798979s,20.798999s,5,00 D4 00 18 20,00 00 00 01 00,1.5858 MHz,-
1112,20.804005s,20.804025s,5,80 D6 00 18 00,00 00 00 01 94,1.5921 MHz,-
1113,20.804030s,20.804066s,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.5969 MHz,-
1114,20.804071s,20.804136s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5764 MHz,-
1115,20.809142s,20.809163s,5,80 D4 00 18 00,00 00 00 01 94,1.5953 MHz,-
1116,20.809168s,20.809204s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5985 MHz,-
1117,20.809209s,20.809270s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5985 MHz,-
1118,20.809275s,20.809296s,5,00 D4 00 18 40,00 00 00 01 00,1.5937 MHz,-
1119,20.809301s,20.809322s,5,00 D4 00 00 20,00 00 00 01 00,1.5953 MHz,-
1120,20.809328s,20.809348s,5,80 D4 00 00 00,00 00 00 01 81,1.5905 MHz,-
1121,20.809353s,20.809374s,5,00 D4 00 00 02,00 00 00 01 00,1.6033 MHz,-
1122,20.809379s,20.809399s,5,80 D4 00 00 00,00 00 00 01 A1,1.5889 MHz,-
1123,20.809405s,20.809425s,5,80 D4 00 18 00,00 00 00 01 04,1.5519 MHz,-
1124,20.809431s,20.809451s,5,00 D4 00 18 40,00 00 00 01 00,1.5826 MHz,-
1125,20.814457s,20.814477s,5,80 D4 00 1C 00,00 00 00 01 44,1.5489 MHz,-
1126,20.814483s,20.814518s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5641 MHz,-
1127,20.814524s,20.814651s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6065 MHz,-
1128,20.819656s,20.819677s,5,80 D4 00 18 00,00 00 00 01 84,1.5534 MHz,-
1129,20.824682s,20.824703s,5,80 D4 00 18 00,00 00 00 01 84,1.5953 MHz,-
1130,20.824708s,20.824729s,5,00 D4 00 18 20,00 00 00 01 00,1.5595 MHz,-
1131,20.829735s,20.829755s,5,80 D4 00 18 00,00 00 00 01 94,1.6113 MHz,-
1132,20.829760s,20.829796s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5550 MHz,-
1133,20.829802s,20.829868s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5489 MHz,-
1134,20.834873s,20.834894s,5,80 D4 00 18 00,00 00 00 01 94,1.5733 MHz,-
1135,20.834899s,20.834935s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5905 MHz,-
1136,20.834940s,20.835061s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5764 MHz,-
1137,20.835067s,20.835087s,5,00 D4 00 18 40,00 00 00 01 00,1.5921 MHz,-
1138,20.835093s,20.835113s,5,00 DC 00 00 20,00 00 00 01 00,1.5953 MHz,-
1139,20.835119s,20.835140s,5,80 D4 00 00 00,00 00 00 01 81,1.5969 MHz,-
1140,20.835145s,20.835166s,5,00 D4 00 00 02,00 00 00 01 00,1.6017 MHz,-
1141,20.835171s,20.835191s,5,80 D6 00 00 00,00 00 00 01 A1,1.6033 MHz,-
1142,20.835197s,20.835218s,5,80 D4 00 18 00,00 00 00 01 44,1.5656 MHz,-
1143,20.835223s,20.835259s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5811 MHz,-
1144,20.835264s,20.835391s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 FA 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5953 MHz,-
1145,20.840396s,20.840417s,5,80 D4 00 18 00,00 00 00 01 84,1.5474 MHz,-
1146,20.845423s,20.845443s,5,80 D4 00 18 00,00 00 00 01 84,1.6130 MHz,-
1147,20.845449s,20.845469s,5,00 DC 00 18 20,00 00 00 01 00,1.5826 MHz,-
1148,20.850475s,20.850495s,5,80 D4 00 18 00,00 00 00 01 94,1.5687 MHz,-
1149,20.850501s,20.850536s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.6065 MHz,-
1150,20.850542s,20.850608s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5858 MHz,-
1151,20.855614s,20.855634s,5,80 D4 00 18 00,00 00 00 01 94,1.6195 MHz,-
1152,20.855640s,20.855675s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.6113 MHz,-
1153,20.855681s,20.855782s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5858 MHz,-
1154,20.855787s,20.855808s,5,00 D4 00 18 40,00 00 00 01 00,1.5858 MHz,-
1155,20.855813s,20.855833s,5,00 D4 00 00 20,00 00 00 01 00,1.5874 MHz,-
1156,20.855839s,20.855860s,5,80 D4 00 00 00,00 00 00 01 81,1.5795 MHz,-
1157,20.855865s,20.855885s,5,00 D4 00 00 02,00 00 00 01 00,1.5889 MHz,-
1158,20.855891s,20.855911s,5,80 D4 00 00 00,00 00 00 01 A1,1.5656 MHz,-
1159,20.855917s,20.855937s,5,80 D4 00 18 00,00 00 00 01 04,1.5874 MHz,-
1160,20.855943s,20.855963s,5,00 D4 00 18 40,00 00 00 01 00,1.5795 MHz,-
1161,20.860969s,20.860989s,5,80 FE 00 18 00,00 00 00 01 44,1.5889 MHz,-
1162,20.860994s,20.861029s,8,83 F4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5937 MHz,-
1163,20.861035s,20.861372s,68,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0F B7 0B 7C 1B 92 20 9A F6 6D 79 F1 2D EC 1F 14 F4 B8 C7 1C 0C 69 BE 22 A1 A0 4F 5C 58 04 E2 6E,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5764 MHz,-
1164,20.861378s,20.861398s,5,00 D4 00 24 C3,00 00 00 01 00,1.5985 MHz,-
1165,20.866404s,20.866424s,5,80 D4 00 18 00,00 00 00 01 84,1.5953 MHz,-
1166,20.871430s,20.871450s,5,80 D4 00 18 00,00 00 00 01 84,1.5733 MHz,-
1167,20.871455s,20.871475s,5,00 D4 00 18 20,00 00 00 01 00,1.5565 MHz,-
1168,20.876481s,20.876501s,5,80 D4 00 18 00,00 00 00 01 94,1.5905 MHz,-
1169,20.876507s,20.876542s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.5764 MHz,-
1170,20.876548s,20.876613s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5780 MHz,-
1171,20.881619s,20.881639s,5,80 D4 00 18 00,00 00 00 01 94,1.5718 MHz,-
1172,20.881645s,20.881680s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.6001 MHz,-
1173,20.881686s,20.881746s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5985 MHz,-
1174,20.881752s,20.881772s,5,00 D4 00 18 40,00 00 00 01 00,1.6000 MHz,-
1175,20.881778s,20.881798s,5,00 D4 00 00 30,00 00 00 01 00,1.6065 MHz,-
1176,21.013761s,21.013781s,5,80 D6 00 00 00,00 00 00 01 81,1.5052 MHz,-
1177,21.013787s,21.013807s,5,00 D4 00 00 02,00 00 00 01 00,1.5969 MHz,-
1178,21.013813s,21.013833s,5,80 D6 00 00 00,00 00 00 01 A1,1.6065 MHz,-
1179,21.013839s,21.013859s,5,80 D4 00 18 00,00 00 00 01 44,1.5749 MHz,-
1180,21.013865s,21.013900s,8,83 FC 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6195 MHz,-
1181,21.013905s,21.014030s,26,1D D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6228 MHz,-
1182,21.019035s,21.019056s,5,80 D4 00 18 00,00 00 00 01 84,1.5641 MHz,-
1183,21.024062s,21.024082s,5,80 D4 00 18 00,00 00 00 01 84,1.6130 MHz,-
1184,21.024087s,21.024107s,5,00 F4 00 18 20,00 00 00 01 00,1.5764 MHz,-
1185,21.029113s,21.029133s,5,80 D4 00 18 00,00 00 00 01 94,1.5749 MHz,-
1186,21.029139s,21.029174s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5733 MHz,-
1187,21.029180s,21.029245s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.6211 MHz,-
1188,21.034251s,21.034271s,5,80 D4 00 18 00,00 00 00 01 94,1.5702 MHz,-
1189,21.034276s,21.034311s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.6097 MHz,-
1190,21.034317s,21.034437s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.6081 MHz,-
1191,21.034442s,21.034462s,5,00 DC 00 18 40,00 00 00 01 00,1.6033 MHz,-
1192,21.034468s,21.034488s,5,00 D4 00 00 20,00 00 00 01 00,1.6211 MHz,-
1193,21.034494s,21.034515s,5,80 D4 00 00 00,00 00 00 01 81,1.5687 MHz,-
1194,21.034520s,21.034540s,5,00 D4 00 00 02,00 00 00 01 00,1.6097 MHz,-
1195,21.034546s,21.034566s,5,80 D4 00 00 00,00 00 00 01 A1,1.6097 MHz,-
1196,21.034571s,21.034591s,5,80 D4 00 18 00,00 00 00 01 04,1.6113 MHz,-
1197,21.034597s,21.034617s,5,00 D4 00 18 40,00 00 00 01 00,1.5889 MHz,-
1198,21.039623s,21.039643s,5,80 D4 00 18 00,00 00 00 01 44,1.5795 MHz,-
1199,21.039649s,21.039684s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5889 MHz,-
1200,21.039689s,21.039814s,26,15 D6 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6065 MHz,-
1201,21.044820s,21.044840s,5,80 D4 00 18 00,00 00 00 01 84,1.5718 MHz,-
1202,21.049846s,21.049866s,5,80 D4 00 18 00,00 00 00 01 84,1.5671 MHz,-
1203,21.049872s,21.049892s,5,00 D4 00 18 20,00 00 00 01 00,1.6195 MHz,-
1204,21.054897s,21.054918s,5,80 D4 00 18 00,00 00 00 01 94,1.5780 MHz,-
1205,21.054923s,21.054959s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5610 MHz,-
1206,21.054964s,21.055029s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.6113 MHz,-
1207,21.060035s,21.060055s,5,80 D4 00 18 00,00 00 00 01 94,1.5874 MHz,-
1208,21.060060s,21.060096s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.6033 MHz,-
1209,21.060101s,21.060201s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.6065 MHz,-
1210,21.060207s,21.060227s,5,00 D4 00 18 40,00 00 00 01 00,1.6097 MHz,-
1211,21.060233s,21.060253s,5,00 D4 00 00 20,00 00 00 01 00,1.5459 MHz,-
1212,21.081468s,21.081489s,5,80 DC 00 00 00,00 00 00 01 81,1.5580 MHz,-
1213,21.081495s,21.081515s,5,00 D4 00 00 02,00 00 00 01 00,1.6195 MHz,-
1214,21.081520s,21.081541s,5,80 D4 00 00 00,00 00 00 01 A1,1.5842 MHz,-
1215,21.081546s,21.081567s,5,80 D4 00 18 00,00 00 00 01 44,1.6360 MHz,-
1216,21.081572s,21.081608s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5534 MHz,-
1217,21.081613s,21.081740s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5842 MHz,-
1218,21.086746s,21.086766s,5,80 D4 00 18 00,00 00 00 01 84,1.5641 MHz,-
1219,21.091772s,21.091792s,5,80 D6 00 18 00,00 00 00 01 84,1.5341 MHz,-
1220,21.091798s,21.091818s,5,00 F4 00 18 20,00 00 00 01 00,1.5937 MHz,-
1221,21.096824s,21.096844s,5,80 D4 00 18 00,00 00 00 01 94,1.5595 MHz,-
1222,21.096849s,21.096885s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.6033 MHz,-
1223,21.096890s,21.096956s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5795 MHz,-
1224,21.101962s,21.101982s,5,80 FE 00 18 00,00 00 00 01 94,1.5626 MHz,-
1225,21.101987s,21.102023s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.6065 MHz,-
1226,21.102028s,21.102148s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5985 MHz,-
1227,21.102154s,21.102174s,5,00 D4 00 18 60,00 00 00 01 00,1.5811 MHz,-
1228,21.102180s,21.102200s,5,00 D4 00 00 20,00 00 00 01 00,1.5795 MHz,-
1229,21.102206s,21.102226s,5,80 D4 00 00 00,00 00 00 01 81,1.6017 MHz,-
1230,21.102232s,21.102252s,5,00 D4 00 00 02,00 00 00 01 00,1.6097 MHz,-
1231,21.102257s,21.102277s,5,C0 D6 00 00 00,00 00 00 01 A1,1.5905 MHz,-
1232,21.102283s,21.102303s,5,80 D4 00 18 00,00 00 00 01 04,1.6113 MHz,-
1233,21.102308s,21.102328s,5,00 D4 00 18 40,00 00 00 01 00,1.6049 MHz,-
1234,21.107334s,21.107354s,5,80 D4 00 18 00,00 00 00 01 44,1.5874 MHz,-
1235,21.107360s,21.107395s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5969 MHz,-
1236,21.107400s,21.107526s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6017 MHz,-
1237,21.112533s,21.112553s,5,80 D4 00 18 00,00 00 00 01 84,1.5842 MHz,-
1238,21.117559s,21.117580s,5,80 D4 00 18 00,00 00 00 01 84,1.5253 MHz,-
